[RowNum],[loss] 
1,4.505010446085864
2,6.651707403583268
3,4.780248799099711
4,9.420987575415403
5,21.841269199725314
6,15.302709252546741
7,4.200802101936519
8,5.177313446285756
9,13.368967561060673
10,11.539771742602648
11,43.795831902096175
12,26.2915762545617
13,46.896460840849535
14,22.54627764540729
15,15.877146374780581
16,23.757163267288924
17,17.311342325625304
18,33.16586167628134
19,49.526846870602235
20,45.38031877991019
21,34.45436906016523
22,36.559755023530016
23,20.24307966507902
24,42.46406963803216
25,26.328000367036406
26,16.090921548755368
27,14.677021392887244
28,38.582838484122334
29,31.740186025662656
30,31.05701933039397
31,25.400746160465925
32,86.1740085991059
33,21.1092011278635
34,214.1495927401224
35,172.27758131136636
36,1133.4111540574459
37,948.956125388389
38,745.9166298057505
39,1583.6869540225562
40,1633.9605553268404
41,1613.9744166874355
42,1041.7423355381711
43,1607.5222058886718
44,1446.9113031676643
45,316.6991180996796
46,1426.553508312241
47,992.0468090434949
48,1342.4714069389104
49,4076.3479207692126
50,2092.35711908341
51,1850.5340297565394
52,2051.644066504225
53,2316.777553979069
54,2103.274455384627
55,1947.600600997412
56,2176.5545271670503
57,2009.2478325251027
58,2031.5241364404496
59,5090.9251452568315
60,1336.6029164134634
61,1909.5755261353731
62,702.8272789129322
63,1053.9654146771022
64,1485.546986682997
65,2228.7120342429603
66,2017.494861487424
67,2341.8304652402453
68,2286.6803197540726
69,1398.38437800635
70,2021.851643600812
71,1202.0081039732368
72,2627.9798939366883
73,1404.8558083681537
74,1164.451151050259
75,1761.8671078709683
76,3155.4184722478267
77,1870.6952957350695
78,2160.851383582969
79,3194.218283942299
80,2689.885374647652
81,2449.530327055096
82,786.377239460558
83,914.1057705541954
84,1324.7705426782884
85,1661.4963331794909
